Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),impact_score,likelihood,risk_score,Risk Category
India,2023,Ransomware,Retail,0.0509598954668811,0.5821323023865831,Insider,Weak Passwords,Antivirus,0.5492957746478874,0.309978793378993,0.001,0.00030997879337899296,Medium
France,2023,SQL Injection,Banking,0.47844004422555036,0.3606125232808687,Unknown,Zero-day,Antivirus,0.28169014084507044,0.4037418072660499,0.001,0.0004037418072660499,Medium
India,2020,Phishing,Retail,0.2541964016484069,0.9074199543439775,Insider,Unpatched Software,Antivirus,0.16901408450704225,0.43312700402880516,0.002,0.0008662540080576104,High
UK,2024,Man-in-the-Middle,Banking,0.1441350889536637,0.8180144133721506,Hacker Group,Social Engineering,VPN,0.8873239436619719,0.49493665722087143,0.0013333333333333333,0.0006599155429611619,High
China,2024,Malware,Healthcare,0.8569705498040006,0.9225128626486299,Nation-state,Zero-day,Antivirus,0.36619718309859156,0.7784785703163076,0.0003333333333333333,0.00025949285677210254,Low
USA,2019,DDoS,Retail,0.18353603377223845,0.4116077585214735,Insider,Social Engineering,VPN,0.5774647887323944,0.33074330218904013,0.0013333333333333333,0.00044099106958538683,Medium
India,2020,Phishing,Healthcare,0.3788320434214494,0.8482032323503245,Insider,Weak Passwords,Firewall,0.4366197183098592,0.5312009350777939,0.001,0.0005312009350777939,Medium
India,2015,Man-in-the-Middle,Banking,0.37792742989245154,0.18753096192896196,Nation-state,Unpatched Software,VPN,0.5070422535211268,0.3466314542291397,0.0013333333333333333,0.0004621752723055196,Medium
China,2024,SQL Injection,Telecommunications,0.09729621067443965,0.6374289314268958,Unknown,Weak Passwords,Antivirus,0.7183098591549296,0.38353875659627445,0.001,0.00038353875659627445,Medium
China,2024,SQL Injection,IT,0.35953362146949447,0.23683085954818353,Hacker Group,Zero-day,Encryption,0.9014084507042254,0.4310977587400474,0.001,0.00043109775874004743,Medium
Australia,2022,Ransomware,Government,0.9203940094481857,0.820035007621013,Nation-state,Unpatched Software,Encryption,0.8732394366197184,0.8808553943343405,0.0006666666666666666,0.0005872369295562269,High
Brazil,2023,SQL Injection,Healthcare,0.7277113277716355,0.43442876429502886,Hacker Group,Social Engineering,Firewall,1.0,0.6941842931743265,0.0013333333333333333,0.0009255790575657686,High
USA,2019,DDoS,Telecommunications,0.5731229269273295,0.5135822163687149,Nation-state,Unpatched Software,VPN,0.18309859154929578,0.4772558466841384,0.0013333333333333333,0.0006363411289121845,High
Japan,2015,Malware,Healthcare,0.053171172982209275,0.8220275797604311,Unknown,Social Engineering,Firewall,0.5492957746478874,0.3830530153488114,0.001,0.0003830530153488114,Medium
Russia,2020,Man-in-the-Middle,IT,0.14252688712433412,0.012170602605455706,Unknown,Zero-day,Antivirus,0.4084507042253521,0.1566047651888742,0.0006666666666666666,0.0001044031767925828,Low
Russia,2020,Man-in-the-Middle,Telecommunications,0.09669313498844105,0.4051486622945505,Hacker Group,Unpatched Software,Antivirus,0.7183098591549296,0.3135531380135716,0.001,0.0003135531380135716,Medium
Japan,2017,DDoS,IT,0.8683284752236407,0.7031657978144756,Unknown,Unpatched Software,Firewall,0.19718309859154928,0.6845505966744729,0.001,0.000684550596674473,High
Australia,2022,Phishing,Government,0.09387878178711428,0.5804359639755767,Nation-state,Social Engineering,VPN,0.971830985915493,0.4154363772693288,0.001,0.0004154363772693288,Medium
France,2017,Man-in-the-Middle,Education,0.4969343652628405,0.6406534755922423,Hacker Group,Social Engineering,Firewall,0.7042253521126761,0.5815082957316282,0.0006666666666666666,0.0003876721971544188,Medium
Japan,2023,Phishing,Banking,0.7501256407679164,0.08517120007686065,Hacker Group,Social Engineering,VPN,0.7605633802816901,0.5527268564633545,0.001,0.0005527268564633545,High
UK,2024,Malware,Healthcare,0.3287767614835662,0.07957878766346647,Unknown,Zero-day,Firewall,0.8873239436619719,0.3657268057732174,0.0006666666666666666,0.00024381787051547826,Low
China,2023,SQL Injection,Telecommunications,0.5418635038697357,0.21514675078637047,Hacker Group,Social Engineering,VPN,0.6901408450704226,0.47350394618486347,0.0006666666666666666,0.0003156692974565756,Medium
France,2018,Malware,IT,0.5936275002512816,0.4502442427074963,Nation-state,Zero-day,AI-based Detection,0.35211267605633806,0.5023095581491573,0.0006666666666666666,0.00033487303876610487,Medium
Australia,2016,Malware,Retail,0.45441752939993973,0.46160820887680387,Nation-state,Unpatched Software,Firewall,0.1267605633802817,0.3910433400390674,0.001,0.00039104334003906737,Medium
France,2021,Man-in-the-Middle,Banking,0.04462760076389588,0.07078785161492418,Insider,Social Engineering,Encryption,0.46478873239436624,0.13650790234529844,0.0003333333333333333,4.550263411509948e-05,Low
India,2017,Ransomware,Government,0.8942607297215801,0.2014669574294118,Unknown,Zero-day,Antivirus,0.5352112676056339,0.6146127056107404,0.0003333333333333333,0.0002048709018702468,Low
Russia,2018,Man-in-the-Middle,Government,0.4564277816866017,0.3219620280401237,Nation-state,Weak Passwords,Encryption,0.6056338028169015,0.4459292598187182,0.0006666666666666666,0.0002972861732124788,Low
Japan,2021,Phishing,Banking,0.8277213790330686,0.8545592472460772,Insider,Zero-day,Antivirus,0.2112676056338028,0.712481984817118,0.0013333333333333333,0.0009499759797561573,High
USA,2016,Phishing,Retail,0.8980802090662379,0.9984487760843306,Insider,Zero-day,VPN,0.08450704225352114,0.7654761458091224,0.0013333333333333333,0.0010206348610788298,High
France,2018,Malware,IT,0.10362850537742488,0.4795823905061094,Insider,Weak Passwords,VPN,0.16901408450704225,0.2294917867419537,0.001,0.0002294917867419537,Low
Russia,2022,Malware,Healthcare,0.3399336616745402,0.5541752442677272,Insider,Weak Passwords,Encryption,0.4507042253521127,0.4263602491880108,0.0006666666666666666,0.00028424016612534054,Low
USA,2022,Phishing,Government,0.9251181023218416,0.6534936064554934,Hacker Group,Social Engineering,Firewall,0.056338028169014086,0.6698747387313716,0.0016666666666666668,0.0011164578978856193,High
UK,2016,Man-in-the-Middle,Government,0.6271987134385366,0.11945525019240182,Hacker Group,Unpatched Software,Encryption,0.18309859154929578,0.386055650086848,0.001,0.000386055650086848,Medium
Germany,2018,DDoS,Banking,0.48507387677153485,0.7548275589440069,Hacker Group,Unpatched Software,VPN,0.47887323943661975,0.5647598539562935,0.001,0.0005647598539562934,High
USA,2016,Malware,Retail,0.4081817268067143,0.8491009406421667,Unknown,Unpatched Software,VPN,0.5070422535211268,0.5602295963002325,0.0016666666666666668,0.0009337159938337209,High
China,2021,SQL Injection,Healthcare,0.5699065232686703,0.3282890200368091,Nation-state,Zero-day,VPN,0.1267605633802817,0.40879208032143427,0.001,0.0004087920803214343,Medium
Russia,2018,DDoS,Education,0.12694743190270383,0.5106809272516015,Hacker Group,Weak Passwords,Firewall,0.19718309859154928,0.2561146138451422,0.0013333333333333333,0.00034148615179352296,Medium
Australia,2015,Man-in-the-Middle,Education,0.2056488089255202,0.24785455724566685,Hacker Group,Social Engineering,Encryption,0.971830985915493,0.37154696881955873,0.0003333333333333333,0.00012384898960651958,Low
Brazil,2023,DDoS,Government,0.42466579555734246,0.7465900595569905,Unknown,Zero-day,VPN,0.323943661971831,0.5010986480401346,0.002,0.0010021972960802693,High
Japan,2018,Ransomware,Education,0.8281234294904012,0.33644845783323046,Unknown,Zero-day,AI-based Detection,0.22535211267605634,0.5600666746303811,0.0003333333333333333,0.00018668889154346035,Low
Brazil,2021,Ransomware,Government,0.20816162428384766,0.5708363899116403,Insider,Social Engineering,Firewall,1.0,0.47533172911541594,0.0006666666666666666,0.0003168878194102773,Medium
France,2020,Malware,Banking,0.1181023218413911,0.16263431847727858,Insider,Unpatched Software,Firewall,0.16901408450704225,0.1416442733652876,0.0006666666666666666,9.442951557685839e-05,Low
Japan,2015,SQL Injection,Education,0.6168459141622273,0.2441746538018497,Nation-state,Social Engineering,VPN,0.5915492957746479,0.49998521237659815,0.0013333333333333333,0.0006666469498354642,High
Japan,2016,DDoS,Education,0.7098200824203439,0.6046100373194451,Nation-state,Social Engineering,Encryption,0.26760563380281693,0.5898141791665689,0.0006666666666666666,0.00039320945277771256,Medium
Germany,2024,Man-in-the-Middle,Education,0.26213689818072167,0.31322013068310905,Hacker Group,Social Engineering,AI-based Detection,0.49295774647887325,0.3236260375910682,0.0006666666666666666,0.0002157506917273788,Low
Australia,2023,Malware,Retail,0.047642979193888844,0.6970279550565397,Nation-state,Unpatched Software,Encryption,0.28169014084507044,0.2892679042829204,0.001,0.00028926790428292036,Low
UK,2024,Phishing,Banking,0.30043220424163236,0.1562753012126568,Hacker Group,Unpatched Software,VPN,1.0,0.3970986924846132,0.001,0.00039709869248461324,Medium
UK,2020,Phishing,Healthcare,0.6638858176701177,0.8435515621825621,Hacker Group,Zero-day,Antivirus,0.9859154929577465,0.7821914760813768,0.0003333333333333333,0.0002607304920271256,Low
China,2016,DDoS,Telecommunications,0.8294300934767314,0.28166022992140805,Insider,Social Engineering,AI-based Detection,0.04225352112676056,0.5076638199401402,0.0013333333333333333,0.0006768850932535203,High
India,2024,Ransomware,IT,0.8817971655442759,0.5262992501083354,Insider,Unpatched Software,Antivirus,0.3098591549295775,0.6607601887905541,0.0016666666666666668,0.0011012669813175902,High
Russia,2018,DDoS,IT,0.047039903507890245,0.8271526234198784,Insider,Social Engineering,VPN,0.47887323943661975,0.36744038666723255,0.0013333333333333333,0.00048992051555631,Medium
China,2024,DDoS,IT,0.13338023922002212,0.929060028362378,Insider,Social Engineering,Encryption,0.35211267605633806,0.4158306633299921,0.0013333333333333333,0.0005544408844399895,High
China,2021,Ransomware,Education,0.21509699467283147,0.3046203454525621,Hacker Group,Weak Passwords,AI-based Detection,0.7323943661971831,0.34541347421162094,0.001,0.00034541347421162096,Medium
Brazil,2024,Man-in-the-Middle,Education,0.3409387878178712,0.9609591968062802,Nation-state,Weak Passwords,Firewall,0.6619718309859155,0.5911515191480028,0.0013333333333333333,0.0007882020255306704,High
France,2019,Ransomware,Government,0.5769424062719871,0.26387219516198285,Unknown,Weak Passwords,AI-based Detection,0.3802816901408451,0.44368919971275744,0.0013333333333333333,0.00059158559961701,High
Australia,2022,Phishing,Healthcare,0.6178510403055584,0.6338260887840507,Insider,Unpatched Software,Antivirus,0.619718309859155,0.6230170087598255,0.001,0.0006230170087598255,High
China,2021,Ransomware,Healthcare,0.5589506483063625,0.25530843835786443,Unknown,Social Engineering,Firewall,0.22535211267605634,0.4011382781957519,0.001,0.00040113827819575186,Medium
Australia,2018,Ransomware,Banking,0.5039702482661574,0.8743008233496229,Insider,Unpatched Software,Antivirus,0.5211267605633804,0.6185007232506416,0.0003333333333333333,0.00020616690775021387,Low
USA,2017,DDoS,Healthcare,0.6482058498341542,0.6325060472712971,Insider,Zero-day,VPN,0.7605633802816901,0.6659674151548043,0.0003333333333333333,0.00022198913838493474,Low
Brazil,2018,Ransomware,Education,0.6889134586390593,0.9394632364935935,Nation-state,Zero-day,Firewall,0.7746478873239437,0.7812252777323965,0.0003333333333333333,0.0002604084259107988,Low
India,2022,Man-in-the-Middle,Retail,0.13388280229168764,0.633931171694467,Hacker Group,Social Engineering,Antivirus,0.5070422535211268,0.3585292033584092,0.0006666666666666666,0.00023901946890560614,Low
Australia,2016,Malware,Government,0.22092672630415122,0.6862934855601069,Nation-state,Zero-day,Firewall,0.8591549295774649,0.48818239473560066,0.001,0.0004881823947356007,Medium
China,2022,Malware,Retail,0.10865413609407983,0.5618262809356582,Unknown,Zero-day,Antivirus,0.22535211267605634,0.26794537486294867,0.001,0.0002679453748629487,Low
India,2023,SQL Injection,Government,0.6033772238415922,0.015356115975504674,Unknown,Zero-day,VPN,0.9154929577464789,0.4893940382627433,0.0016666666666666668,0.0008156567304379056,High
Germany,2019,Malware,Healthcare,0.9845210573927029,0.03202426714677881,Hacker Group,Weak Passwords,Antivirus,0.619718309859155,0.6258114708122161,0.002,0.0012516229416244323,High
China,2021,SQL Injection,IT,0.9705498040004021,0.3292137496484727,Nation-state,Weak Passwords,VPN,0.8450704225352113,0.7530531114017851,0.0006666666666666666,0.0005020354076011901,Medium
India,2020,Phishing,Healthcare,0.6452909840184944,0.5414542073696147,Hacker Group,Weak Passwords,Encryption,0.22535211267605634,0.5301521767553429,0.001,0.0005301521767553429,Medium
China,2020,Man-in-the-Middle,Education,0.005528193788320435,0.25517032938988865,Unknown,Unpatched Software,Encryption,0.9859154929577465,0.27649829430267614,0.0006666666666666666,0.0001843321962017841,Low
Japan,2017,Phishing,Government,0.8992863604382351,0.14080209285125966,Hacker Group,Zero-day,AI-based Detection,0.11267605633802817,0.5144190193421011,0.001,0.0005144190193421011,Medium
India,2015,Man-in-the-Middle,Telecommunications,0.48326464971353905,0.3580685160591707,Nation-state,Zero-day,AI-based Detection,0.14084507042253522,0.3772218937590278,0.0006666666666666666,0.0002514812625060185,Low
Japan,2023,Man-in-the-Middle,Education,0.16001608201829334,0.059945296839206144,Insider,Zero-day,VPN,0.295774647887324,0.15714655963837332,0.0006666666666666666,0.00010476437309224887,Low
China,2019,Ransomware,Government,0.14996482058498345,0.5551670267841327,Unknown,Zero-day,Encryption,0.14084507042253522,0.26970153241223854,0.0016666666666666668,0.0004495025540203976,Medium
India,2018,SQL Injection,Healthcare,0.46889134586390596,0.0979192582947946,Insider,Social Engineering,Firewall,0.23943661971830985,0.3117087743640533,0.0006666666666666666,0.00020780584957603553,Low
Russia,2019,Man-in-the-Middle,IT,0.5256809729621068,0.6335869000641506,Insider,Zero-day,VPN,0.8028169014084507,0.6134799367819888,0.0006666666666666666,0.00040898662452132584,Medium
UK,2015,Man-in-the-Middle,Banking,0.6471002110764901,0.9765595054498,Unknown,Social Engineering,Firewall,0.3802816901408451,0.692574295201354,0.0013333333333333333,0.0009234323936018054,High
Brazil,2016,DDoS,Telecommunications,0.9407980701578048,0.8389769528157717,Unknown,Social Engineering,VPN,0.28169014084507044,0.7784301490926481,0.0016666666666666668,0.0012973835818210803,High
China,2023,Ransomware,IT,0.22796260930746812,0.3673688540258264,Nation-state,Weak Passwords,Encryption,0.22535211267605634,0.26926238339669323,0.001,0.00026926238339669323,Low
China,2018,Ransomware,Education,0.17026836868026943,0.5986623445898814,Insider,Social Engineering,VPN,0.8169014084507042,0.42811316940724,0.001,0.00042811316940724,Medium
France,2022,Phishing,Retail,0.22333902904814557,0.6296437889494811,Hacker Group,Unpatched Software,VPN,0.5633802816901409,0.4132387075469453,0.0016666666666666668,0.0006887311792449089,High
Japan,2021,Man-in-the-Middle,Education,0.6984621570007036,0.8345894911084847,Nation-state,Unpatched Software,AI-based Detection,0.9859154929577465,0.7967910244244465,0.0016666666666666668,0.0013279850407074108,High
USA,2020,Man-in-the-Middle,IT,0.8782792240426174,0.731648270485413,Nation-state,Unpatched Software,Antivirus,0.02816901408450704,0.664267895983834,0.0013333333333333333,0.0008856905279784452,High
UK,2020,SQL Injection,Retail,0.6976580560860388,0.35449269473614686,Insider,Social Engineering,VPN,0.8732394366197184,0.6298247237878072,0.0006666666666666666,0.00041988314919187144,Medium
USA,2020,Ransomware,Banking,0.2708814956277013,0.060051380539245476,Nation-state,Weak Passwords,Antivirus,0.36619718309859156,0.2266955985953426,0.0003333333333333333,7.556519953178087e-05,Low
China,2024,DDoS,Retail,0.1273494823600362,0.09500195654371299,Nation-state,Unpatched Software,Antivirus,0.14084507042253522,0.12034434222763905,0.0003333333333333333,4.011478074254635e-05,Low
Brazil,2020,Phishing,Retail,0.507488189767816,0.8263870193582737,Insider,Weak Passwords,VPN,0.02816901408450704,0.5072940035082915,0.0006666666666666666,0.00033819600233886096,Medium
France,2020,SQL Injection,Healthcare,0.6676047844004424,0.23406167466130778,Insider,Zero-day,AI-based Detection,0.4366197183098592,0.49134483826058534,0.001,0.0004913448382605853,Medium
UK,2020,Phishing,Healthcare,0.39169765805608603,0.5510247585344837,Nation-state,Social Engineering,Firewall,0.9859154929577465,0.5583393551799374,0.001,0.0005583393551799374,High
Brazil,2017,SQL Injection,Telecommunications,0.03869735651824304,0.8099720679616218,Nation-state,Social Engineering,VPN,0.8450704225352113,0.4313543831546503,0.0003333333333333333,0.00014378479438488344,Low
UK,2017,Malware,Healthcare,0.2368077193687808,0.6123781663732686,Unknown,Social Engineering,Antivirus,0.647887323943662,0.4316947743851034,0.0006666666666666666,0.0002877965162567356,Low
UK,2015,Phishing,Telecommunications,0.2140918685295005,0.31187306785053415,Nation-state,Unpatched Software,VPN,0.5633802816901409,0.31328391095793867,0.0006666666666666666,0.00020885594063862578,Low
USA,2018,Phishing,Banking,0.8969745703085737,0.27958259066403396,Insider,Zero-day,VPN,0.6338028169014085,0.6591226257337788,0.0013333333333333333,0.0008788301676450383,High
Australia,2016,Phishing,Government,0.7220826213689819,0.8480621210134797,Hacker Group,Social Engineering,Firewall,0.16901408450704225,0.6492627638899433,0.001,0.0006492627638899433,High
Australia,2016,Man-in-the-Middle,Education,0.3716956478037994,0.382559839713534,Nation-state,Zero-day,Firewall,0.15492957746478872,0.33160169130891765,0.0003333333333333333,0.00011053389710297255,Low
USA,2021,Phishing,IT,0.3789325560357825,0.15961893934314175,Insider,Zero-day,Antivirus,0.647887323943662,0.36692942460956623,0.0016666666666666668,0.0006115490410159438,High
France,2023,Man-in-the-Middle,Government,0.8578751633329983,0.841788170866814,Unknown,Zero-day,Firewall,0.943661971830986,0.8702064272927406,0.0003333333333333333,0.00029006880909758016,Low
Japan,2017,DDoS,Healthcare,0.050256307166549406,0.7517551348013584,Nation-state,Social Engineering,AI-based Detection,0.323943661971831,0.3154434264180484,0.0003333333333333333,0.00010514780880601613,Low
Germany,2024,Man-in-the-Middle,Banking,0.5328173685797568,0.6802667304503254,Nation-state,Zero-day,Firewall,0.014084507042253521,0.4733056048334267,0.0013333333333333333,0.0006310741397779023,High
France,2023,Phishing,Education,0.37069052166046845,0.9788563176346138,Insider,Weak Passwords,Firewall,0.5774647887323944,0.5944951138670973,0.001,0.0005944951138670973,High
Germany,2020,Man-in-the-Middle,IT,0.8448085234696955,0.39213239245764914,Unknown,Zero-day,Antivirus,0.08450704225352114,0.5569453879228466,0.0003333333333333333,0.0001856484626409489,Low
Russia,2023,SQL Injection,Retail,0.34546185546286057,0.44683955641000755,Unknown,Weak Passwords,Firewall,0.33802816901408456,0.37438842845724946,0.0003333333333333333,0.00012479614281908315,Low
Australia,2023,Ransomware,IT,0.16845914162227363,0.7779888331893865,Insider,Weak Passwords,Firewall,0.014084507042253521,0.32044312217640347,0.0003333333333333333,0.00010681437405880116,Low
Australia,2016,Ransomware,Healthcare,0.8291285556337321,0.799788032757846,Nation-state,Zero-day,AI-based Detection,0.6901408450704226,0.7925288566583044,0.0006666666666666666,0.0005283525711055363,Medium
Germany,2015,Man-in-the-Middle,Retail,0.8527490200020104,0.8198989002322833,Hacker Group,Zero-day,Antivirus,0.8169014084507042,0.835724461760831,0.001,0.0008357244617608311,High
Japan,2023,SQL Injection,Telecommunications,0.3111870539752739,0.192157612356149,Nation-state,Unpatched Software,AI-based Detection,0.676056338028169,0.3484520783001155,0.001,0.0003484520783001155,Medium
UK,2016,DDoS,Telecommunications,0.7437933460649312,0.00031124557275690525,Hacker Group,Unpatched Software,Firewall,0.9577464788732395,0.5635393424789406,0.0006666666666666666,0.00037569289498596035,Medium
USA,2023,Ransomware,Healthcare,0.12353000301537843,0.6550398264230478,Insider,Social Engineering,Encryption,0.3098591549295775,0.3202487804205191,0.001,0.0003202487804205191,Medium
USA,2018,DDoS,Banking,0.09558749623077696,0.32766052415355723,Hacker Group,Social Engineering,AI-based Detection,0.47887323943661975,0.2418665532487796,0.0013333333333333333,0.00032248873766503946,Medium
France,2016,Man-in-the-Middle,Healthcare,0.2361041310684491,0.1057854647316733,Unknown,Weak Passwords,Antivirus,0.25352112676056343,0.20049193030583923,0.0006666666666666666,0.00013366128687055949,Low
Russia,2022,Man-in-the-Middle,IT,0.3424464770328676,0.04610537714256549,Insider,Unpatched Software,Encryption,0.8591549295774649,0.35688583757469644,0.002,0.0007137716751493929,High
Japan,2021,Man-in-the-Middle,Education,0.153583274700975,0.7334617012823118,Nation-state,Social Engineering,Firewall,0.3943661971830986,0.37570338717180074,0.0006666666666666666,0.00025046892478120046,Low
France,2015,Malware,Government,0.7177605789526585,0.7898722091730376,Unknown,Weak Passwords,Antivirus,0.4225352112676057,0.6803489944817617,0.0003333333333333333,0.00022678299816058722,Low
China,2017,Ransomware,Education,0.6476027741481557,0.15876226342584301,Insider,Weak Passwords,Firewall,0.15492957746478872,0.40241598159478853,0.001,0.0004024159815947885,Medium
China,2020,Phishing,Education,0.0587998793848628,0.08038742567886062,Hacker Group,Zero-day,Encryption,0.09859154929577466,0.07323447725524451,0.0016666666666666668,0.0001220574620920742,Low
UK,2020,Man-in-the-Middle,IT,0.8578751633329983,0.6976624556775296,Unknown,Social Engineering,AI-based Detection,1.0,0.8382363183697581,0.0003333333333333333,0.0002794121061232527,Low
Brazil,2019,SQL Injection,Healthcare,0.46235802593225456,0.7483124184981951,Insider,Weak Passwords,AI-based Detection,0.16901408450704225,0.4894755554169942,0.001,0.0004894755554169943,Medium
Russia,2020,Man-in-the-Middle,Telecommunications,0.6421750929741683,0.8037891896706502,Unknown,Weak Passwords,VPN,0.0,0.5622243033882792,0.0006666666666666666,0.0003748162022588528,Medium
France,2021,Phishing,Retail,0.13036486079002918,0.5376832320701034,Insider,Unpatched Software,VPN,0.5633802816901409,0.33916345635407374,0.0016666666666666668,0.0005652724272567896,High
France,2020,DDoS,Retail,0.40426173484772343,0.7434335690860089,Nation-state,Social Engineering,Firewall,0.1267605633802817,0.45051305082572074,0.0006666666666666666,0.0003003420338838138,Low
Australia,2018,Malware,Telecommunications,0.35692029349683385,0.21497661655045833,Unknown,Zero-day,AI-based Detection,0.676056338028169,0.3781643993191882,0.0016666666666666668,0.0006302739988653137,High
UK,2022,Phishing,Banking,0.576841893657654,0.1356240073417927,Nation-state,Social Engineering,AI-based Detection,0.08450704225352114,0.346009557482069,0.0023333333333333335,0.0008073556341248278,High
USA,2017,Phishing,IT,0.07488189767815862,0.36233988617018836,Hacker Group,Zero-day,Encryption,0.9295774647887325,0.3320584076478823,0.0016666666666666668,0.0005534306794131372,High
Russia,2022,DDoS,Education,0.13458639059201932,0.5371488104114146,Nation-state,Unpatched Software,VPN,0.7464788732394366,0.37773361306732134,0.0006666666666666666,0.00025182240871154753,Low
China,2016,SQL Injection,Retail,0.9627098200824205,0.16176463229488067,Insider,Zero-day,Firewall,0.4366197183098592,0.6172082433916463,0.0006666666666666666,0.0004114721622610975,Medium
China,2016,Ransomware,Banking,0.9461252387174591,0.45563749798591097,Hacker Group,Weak Passwords,Antivirus,0.056338028169014086,0.6210214743883057,0.001,0.0006210214743883057,High
UK,2021,Ransomware,Telecommunications,0.1282540958890341,0.44829670610111383,Nation-state,Social Engineering,AI-based Detection,0.08450704225352114,0.21551746822555543,0.0013333333333333333,0.00028735662430074056,Low
France,2019,Malware,Retail,0.2152980199014977,0.6039565216956179,Nation-state,Unpatched Software,Firewall,0.5211267605633804,0.3930613185721103,0.0006666666666666666,0.00026204087904807354,Low
France,2016,Malware,IT,0.8172680671424265,0.3315786155276514,Hacker Group,Social Engineering,Antivirus,0.3943661971830986,0.5869808576661284,0.001,0.0005869808576661284,High
Japan,2023,Ransomware,Education,0.5858880289476329,0.9838582641704305,Hacker Group,Social Engineering,AI-based Detection,0.47887323943661975,0.6838761416122695,0.0003333333333333333,0.00022795871387075648,Low
China,2015,Phishing,Retail,0.14292893758166653,0.915040967323218,Insider,Social Engineering,AI-based Detection,0.9577464788732395,0.5375260547624465,0.0013333333333333333,0.0007167014063499287,High
Germany,2022,Malware,Banking,0.595034676851945,0.2583668514457908,Insider,Social Engineering,VPN,0.08450704225352114,0.39192880231041394,0.001,0.00039192880231041395,Medium
Brazil,2020,Man-in-the-Middle,Retail,0.15840788018896376,0.5279565577240443,Insider,Zero-day,Firewall,0.3802816901408451,0.31364724543986416,0.0006666666666666666,0.0002090981636265761,Low
Brazil,2015,Phishing,Banking,0.2925922203236506,0.5934282148615257,Unknown,Zero-day,Firewall,0.9014084507042254,0.5046062647611281,0.002,0.0010092125295222563,High
UK,2023,Malware,IT,0.822997286159413,0.3868532271962579,Insider,Unpatched Software,AI-based Detection,0.7746478873239437,0.6824841887033726,0.001,0.0006824841887033726,High
China,2017,DDoS,Healthcare,0.9648205849834155,0.6444234501021306,Insider,Unpatched Software,Antivirus,0.9859154929577465,0.8729204261138963,0.0006666666666666666,0.0005819469507425976,High
Brazil,2024,DDoS,Healthcare,0.7627902301738869,0.7826184859854426,Insider,Weak Passwords,Encryption,0.16901408450704225,0.6499834777839846,0.0003333333333333333,0.00021666115926132818,Low
Russia,2024,SQL Injection,Banking,0.7988742587194694,0.08382713961315479,Nation-state,Weak Passwords,VPN,0.014084507042253521,0.4274021726521318,0.0006666666666666666,0.00028493478176808785,Low
UK,2022,Malware,Healthcare,0.9161724796461957,0.33696186290983593,Insider,Weak Passwords,Firewall,0.8169014084507042,0.7225550803861895,0.0016666666666666668,0.001204258467310316,High
UK,2020,Phishing,Banking,0.033571213187255006,0.24104818701955846,Hacker Group,Social Engineering,Encryption,0.7605633802816901,0.2412127387558331,0.0023333333333333335,0.0005628297237636106,High
China,2023,DDoS,Healthcare,0.9714544175294001,0.7349748951923067,Unknown,Unpatched Software,AI-based Detection,0.6901408450704226,0.8442478463364766,0.0006666666666666666,0.0005628318975576511,High
Australia,2024,DDoS,Healthcare,0.7693235501055384,0.008099390419040623,Hacker Group,Weak Passwords,Encryption,0.04225352112676056,0.3955422964038335,0.001,0.00039554229640383347,Medium
UK,2018,Man-in-the-Middle,Government,0.9148658156598654,0.8655158920388187,Nation-state,Social Engineering,VPN,0.25352112676056343,0.767791900793691,0.0013333333333333333,0.001023722534391588,High
Germany,2023,SQL Injection,Education,0.3708915468891346,0.6625267335928048,Insider,Weak Passwords,AI-based Detection,0.04225352112676056,0.39265449774776084,0.0016666666666666668,0.0006544241629129348,High
China,2020,Malware,Healthcare,0.11448386772539955,0.6466532093822026,Insider,Unpatched Software,VPN,0.19718309859154928,0.29067451639567043,0.0006666666666666666,0.00019378301093044695,Low
USA,2019,DDoS,Telecommunications,0.4300934767313298,0.2665342955591963,Unknown,Unpatched Software,Antivirus,0.4084507042253521,0.3766971678784942,0.0013333333333333333,0.0005022628905046589,Medium
USA,2022,Ransomware,Retail,0.9285355312091668,0.7715517543341697,Hacker Group,Social Engineering,Firewall,0.056338028169014086,0.707000897538637,0.0006666666666666666,0.0004713339316924247,Medium
USA,2020,DDoS,Banking,0.9981907729420043,0.9484983652101509,Unknown,Social Engineering,AI-based Detection,0.04225352112676056,0.7920956002593995,0.0013333333333333333,0.0010561274670125326,High
Brazil,2017,DDoS,Healthcare,0.625590511609207,0.46020310024609423,Unknown,Social Engineering,Firewall,0.11267605633802817,0.47339139714603745,0.0006666666666666666,0.000315594264764025,Medium
USA,2017,DDoS,Government,0.9688410895567394,0.7943497419463957,Unknown,Unpatched Software,Antivirus,0.04225352112676056,0.7311761715876406,0.001,0.0007311761715876406,High
France,2015,SQL Injection,IT,0.43582269574831645,0.07185469335305557,Unknown,Weak Passwords,Firewall,0.8873239436619719,0.4169325446124693,0.0003333333333333333,0.0001389775148708231,Low
France,2020,DDoS,Telecommunications,0.6610714644687908,0.9955925225002528,Nation-state,Weak Passwords,Firewall,0.7323943661971831,0.7756923622239078,0.001,0.0007756923622239078,High
Japan,2021,Malware,Retail,0.9076289074278823,0.8420063430046307,Nation-state,Social Engineering,AI-based Detection,0.2112676056338028,0.7486698777420908,0.0013333333333333333,0.000998226503656121,High
